Organic_carbon,Trihalomethanes,Potability
9.999397816120336,66.69397283949574,1
9.983462391809041,66.66857615209304,1
9.971476405234057,94.9841012731818,1
9.969701406355568,82.49259499213463,1
9.969135935575423,64.07054759532215,1
9.938444983605791,50.15973380568105,1
9.921623325469795,82.6601649179758,1
9.901729762761818,70.2699593087864,1
9.901327631938614,81.33933980941578,1
9.899115390205338,55.06930392643049,1
9.893655008905,52.157787167286365,1
9.809669141814254,79.39710488560058,1
9.79301009998187,89.91991551782552,1
9.784776715189537,86.69545110842313,1
9.77951770968258,41.24997685332854,1
9.771895939622482,78.29502213613884,1
9.751086325279005,72.73442314285379,1
9.71421973743594,51.69789379904905,1
9.702581290743012,64.36111582650108,1
9.693048966796198,59.5772117702484,1
9.675166667451435,69.03511345372613,1
9.64144153860542,60.94002777822824,1
9.640241051762018,57.86542318162909,1
9.561964300508976,57.77328497920307,1
9.551732340250794,68.41085132767444,1
9.536536617070965,57.94947599610792,1
9.534499079597879,65.51666804452658,1
9.515292142301746,77.29730018591418,1
9.497937073238916,50.660145497161196,1
9.475981380426731,79.85232988199215,1
9.456473170031018,94.90112226620026,1
9.42274451470638,55.459550906941985,1
9.386798893815751,91.40211169023883,1
9.313770679686229,70.82837383447702,1
9.261965325690312,71.00221724990192,1
9.253350628665032,100.33566495591938,1
9.246907607305445,34.249780092905915,1
9.184400746791653,49.54012015333407,1
9.142523493633576,42.75321530974412,1
9.08527855506486,75.43963292505106,1
9.06444501890411,68.82704725271194,1
9.057548784739652,48.02968966325686,1
9.025661103805191,53.019584971118626,1
9.006142613897111,60.9120335280757,1
8.997226332644459,44.615660295011736,1
8.986363424137608,41.93043890143848,1
8.963253882638298,82.58133834918347,1
8.95640145961113,77.3609852692872,1
8.942072173645727,67.58734608240604,1
8.930242450098604,75.60097955181803,1
8.900408731498942,62.134280730972534,1
8.881999343581867,78.41901892925169,1
8.857705530972908,64.97557391582566,1
8.84051445092797,66.54393516406815,1
8.803475286549144,,1
8.772738387421612,69.72391202595443,1
8.730149176517386,49.89534185518725,1
8.713963616341118,58.41345969332727,1
8.668672182023442,74.7733924065712,1
8.667720302268037,39.80417883432763,1
8.65476478425677,,1
8.642494410465076,84.58196267045227,1
8.630090797509979,72.92328887809563,1
8.606396746986945,77.57745951035697,1
8.60242535873266,74.58171128420321,1
8.589895534507548,76.3063756515083,1
8.512225338929795,54.9151301435605,1
8.445127066272846,27.663173782690713,1
8.412402056532414,66.163439242252,1
8.398237310611648,67.29095584544493,1
8.360283485419302,52.50118739443663,1
8.286550373023829,80.54035147331061,1
8.271881619595717,67.59815754327194,1
8.233404553677929,66.6782137100115,1
8.189662175779858,59.66355355161021,1
8.148929054665643,69.3750440847648,1
8.129792646305418,74.60371287284924,1
8.127542868467742,77.55495328187686,1
8.120978574739468,48.25957163667532,1
8.073420571182282,77.3881380783752,1
8.008011415089925,55.87024536465181,1
8.006207773598419,59.964334433876736,1
7.992209971351997,82.36537825915869,1
7.92339763408296,79.69776399691365,1
7.9181503376644855,76.37830906277955,1
