Solids,Conductivity
9975.601333945939,307.87757100128897
9973.934059208537,333.19246993768064
9968.96273804851,503.89635686519
9959.135015398699,364.80627315492984
9943.92978526269,415.3383368798727
9943.637598533212,374.7947193794346
9929.194809860886,542.8067817707314
9913.963345655571,302.2004960220483
9898.022208564938,410.62509800411675
9887.830754527777,527.4796939805289
9848.035582779446,295.74952523058346
9844.702292609381,466.5925435157815
9840.782819850461,396.80565205746944
9836.401847179895,386.34524747738277
9812.122463467305,539.6107974856919
9809.904000074897,458.3667847374616
9783.368727453491,351.9973602254736
9782.344284281311,511.16151114197817
9772.504814179669,401.1111433997851
9734.677103081167,399.35070886675425
9727.761715714958,405.76157110740155
9727.653170396703,399.95483336316744
9712.560663976621,386.2180718296084
9694.35489610499,323.7440124682411
9660.658301980391,315.7509090103922
9654.733680734054,588.5667126539669
9651.87482568678,528.1216264671157
9632.730976373949,439.1213011349973
9626.893206045972,271.3684374970511
9624.300462110114,344.30336252225874
9615.832709692548,415.0087368963965
9609.740604778377,428.8823659071389
9592.151333127596,333.77532714280227
9583.710441307563,325.68369121664966
9566.122270169199,504.14599408386647
9559.54739235584,496.8728454764106
9546.129215154651,372.5327524807853
9544.862670775548,378.1203925080246
9496.91035373795,562.7714670568232
9480.617796477698,383.45506826281496
9472.614920464734,259.63680306558183
9465.323904989707,501.34534699223616
9460.32263533989,402.01994488384435
9439.783992729104,543.685833352541
9407.664038720552,270.794058781986
9381.239930798447,440.60113456028665
9363.85398761785,508.34520701170817
9344.653322307506,367.38981116568675
9323.218289777264,450.4413518403725
9265.104947513526,464.57333821732254
9258.767076148215,320.66786536144025
9225.770910795445,451.5246290062903
9163.294448141276,417.12520966536243
9138.02934425656,577.4447127405397
9094.313300416157,361.1075365090635
9082.816175459164,501.44683369491196
9076.646483433453,443.0374169292222
9064.035830800274,324.64790875398586
9049.682594601836,378.52851122469855
9028.760344852113,340.64839262295163
9025.07935959796,328.43311026419275
9001.658753142132,381.3465821492757
9000.025591189238,428.21398699299374
8985.911807108885,498.8039168835444
8918.892600033822,331.3789519350312
