ph,Potability
9.999807460393495,0
9.969273220889765,0
9.961503136754187,0
9.96124770904986,1
9.960689857533172,1
9.953952111556116,0
9.927023723224528,0
9.925041328429108,0
9.920691058768153,0
9.919478425557038,0
9.91871706385417,0
9.91709205694149,1
9.913703796778616,0
9.901930594363924,0
9.900814840038255,1
9.895889212950532,0
9.894562128568642,0
9.888941401311577,1
9.879071257570804,0
9.87179123237563,0
9.869231934989052,1
9.868877880662472,0
9.864727092099823,0
9.850054687400437,1
9.842056293598297,0
9.836030547126414,0
9.831401690527045,0
9.82548990813439,0
9.824706476038184,0
9.814247468572585,0
9.809996386872033,0
9.808258178934235,1
9.80272078232571,1
9.794717848521511,1
9.79455869937693,1
9.792727768555453,1
9.778181812741442,1
9.77693205003625,1
9.76925100608684,0
9.764658133573889,0
9.759937780953084,0
9.75657762790083,0
9.752703226519841,1
9.73956194896991,1
9.735889387811044,0
9.734619707554277,0
9.723377230792792,1
9.68726002786018,0
9.680474778470561,0
9.678050853902558,0
9.671796765490882,0
9.663653196397622,1
9.6631590150059,0
9.658661976447796,0
9.652562935021928,0
9.638222268227196,1
9.630665479903348,0
9.62472688627138,1
9.62210598702481,1
9.619456625659465,0
9.616095703448057,1
9.612898964310972,1
9.61022034489963,0
9.609834364508853,1
9.608533593881912,0
9.606858896121903,0
9.597191856878178,1
9.58789502997377,0
9.58118852272883,0
9.57822672035757,0
9.567822726280445,1
9.564853066461303,0
9.562405943789521,0
9.545270521249014,1
9.540252240007296,1
9.537878628968349,0
9.534021716164197,0
9.519659984470318,0
9.515140615244428,0
9.51462662210288,1
9.504157787679786,0
9.502856746233924,0
9.497261162881253,0
9.495456381941786,1
9.49455872615755,0
9.494242648038439,1
9.489972878325855,0
9.48960096649994,1
9.485832873402854,1
9.484703254003291,1
9.475316259695344,0
9.467129030386197,0
9.46266601699853,0
9.459930509926663,0
9.454119448104636,1
9.445129837868656,1
9.443358884146125,1
9.436637164251444,0
9.434005874654105,1
9.41951031641321,1
9.418296121790158,0
9.406325752898285,0
9.405875050804863,0
9.396148399484137,0
9.39584220217389,0
9.393891652231943,0
9.393148441549062,1
9.380658050788323,0
9.380007092014502,0
9.370696575357567,1
9.352719752960567,1
9.349469962360622,0
9.347344621102474,0
9.341091803370398,0
9.338235018430641,0
9.323583858284508,0
9.32030544529501,0
9.319176393077573,0
9.318613915632229,1
9.314522391908303,0
9.313465892899945,0
9.30566048031861,1
9.302441187910585,0
9.298018008096014,0
9.293621613337674,1
9.286155021432371,0
9.281302611348124,0
9.271668544453812,0
9.271578532993324,1
9.271355446767778,1
9.268281894641783,0
9.267187530763547,0
9.266840595087142,0
9.264390908634619,0
9.252893397357361,1
9.252856508985339,0
9.25049163907809,0
9.24141997355796,1
9.241338766959908,1
9.241197563363231,0
9.239440361060407,1
9.228581629853338,0
9.228484208847256,0
9.221955642445518,1
9.186453377063309,1
9.185417502207793,1
9.181560007151536,0
9.177869865892433,0
9.175586152587865,1
9.1726245193336,0
9.166758132730486,1
9.161088612884837,1
9.160997540099475,1
9.159660476654182,1
9.158445163262003,1
9.152284708947711,0
9.14973392673672,0
9.149126710275947,0
9.147197055336921,0
9.146557555894002,1
9.13569425989131,0
9.135451943607052,0
9.130828108445352,0
9.130795898902559,0
9.130768886836288,1
9.130607243837645,0
9.128357757690482,0
9.112786250314787,0
9.107330383461761,1
9.106916914695542,0
9.097617417474694,1
9.092223456290965,0
9.089421098422099,1
9.085637101693884,0
9.079715109457624,1
9.076317993707086,0
9.074922874454952,0
9.066628053764038,0
9.065894193686976,0
9.062822324592787,1
9.058628424072683,1
9.056244707341865,0
9.055825784677507,0
9.052383689790659,1
9.049166054297842,0
9.045720545334614,0
9.043095631701522,0
9.04258286604996,0
9.038326068974225,1
9.036504347749759,0
9.032660579144682,1
9.032563450772717,0
9.026787719511633,0
9.024845037417503,1
9.014356734321137,1
9.01210031314688,0
9.011588753600263,0
9.011480407411014,0
9.00846433449955,1
9.004680613392885,1
9.004352169514855,0
9.002583109651113,0
9.001822865226588,1
8.999498939207154,0
8.998375022679106,0
8.990317233704655,0
8.989900090557086,1
8.983811794161655,0
8.97932285265221,0
8.978997744647556,0
8.977821883109304,1
8.975464347533963,0
8.969697389596341,0
8.96724410982202,1
8.966835972567804,0
8.951652135487269,1
8.942045991487,1
8.937802407855287,0
8.935115926023162,0
8.933877610085764,0
8.928142080209764,1
8.92790592593881,0
8.927078148301744,0
8.926113143092786,0
8.92398060773871,1
8.922409558967978,0
8.922379799883824,1
8.907987117561257,1
8.90373377508948,0
8.90086469660199,1
8.89958837829117,0
8.896418988301798,0
8.895574457925981,0
8.892998479215112,1
8.891674050856766,0
8.88697933200267,0
8.885626344053186,0
8.88493450304863,0
8.882684452292407,1
8.875642278454443,0
8.870278259927936,0
8.862867931189149,0
8.862112709633287,1
8.861701556503956,0
8.860450853927205,1
8.860324241725671,0
8.859696040242188,0
8.858401531200467,0
8.854119540039433,0
8.849702725492898,0
8.848927372187074,1
8.848586282929045,1
8.848103019208414,0
8.847880710565029,0
8.84628195691071,0
8.842463655897197,1
8.839583902216155,0
8.837786915479438,1
8.83264111562239,1
8.832142260904973,1
8.829806178150646,0
8.828326657522403,0
8.82809437489545,0
8.822610383759214,0
8.817402774388958,0
8.81535795265852,0
8.813504659624094,1
8.81147224773704,0
8.809296431775966,0
8.805177745264922,0
8.801933555312004,0
8.80184604561893,1
8.790851188948057,0
8.787667940586466,1
8.783596632026194,1
8.783167623905637,0
8.775485733684196,1
8.77504747012084,0
8.769676021676739,0
8.764495619256667,1
8.76176840475976,0
8.759488714536651,0
8.758824521484824,0
8.75856005645011,0
8.757257397440991,0
8.757110512347623,1
8.756926859235552,1
8.74727152353787,0
8.746985976471965,0
8.743958544661181,1
8.742229881827978,0
8.736371210915214,1
8.73612638374922,0
8.733525329569868,1
8.727778876323073,0
8.725393412154087,0
8.722311224490616,0
8.722143776841188,1
8.721726710620581,0
8.719764331543185,0
8.71924020683575,1
8.716820333772386,1
8.713482927093239,1
8.697122159630041,0
8.693149900569036,1
8.693104326309328,0
8.692115322047213,0
8.692092012708041,0
8.684778671525315,1
8.679934969964185,0
8.675192691679182,0
8.66569208287077,0
8.663974819761108,0
8.662709501389225,0
8.661592429959121,0
8.659113026830287,1
8.655298873146698,1
8.654792650142806,0
8.651389726569342,0
8.651023362891474,1
8.649868625073694,0
8.64953494696306,0
8.647454007366981,0
8.646642950300487,1
8.64163407535188,0
8.640886408909486,0
8.639540977998708,0
8.635848718500734,0
8.631270000435086,0
8.628893415492303,1
8.628301074066663,1
8.618653849249895,0
8.616824426419665,0
8.613698594883758,0
8.610963031730751,1
8.605374455470146,0
8.596767212344783,1
8.596391179552715,1
8.594677108362674,0
8.594416135206476,0
8.594217251084952,1
8.592417714156252,1
8.589202343654149,1
8.581428693706043,1
8.581042820709179,1
8.580008559294866,0
8.57673992840484,0
8.5759391744694,0
8.575673021827997,0
8.57012912066282,0
8.567043820038332,0
8.561218924457805,0
8.560349290980842,1
8.558663124002488,0
8.558388775285017,0
8.555283422607033,0
8.554096969890676,0
8.552993664768604,0
8.552782415873253,0
8.55107774771961,0
8.550875469289338,0
8.550525459441477,0
8.550427814830229,0
8.549692514107981,1
8.546145555159878,1
8.545890346487688,0
8.544708661673045,1
8.543216836760848,0
8.534406879569957,0
8.532377473918308,0
8.52966934763357,1
8.528292137777413,0
8.52714249773106,0
8.526169869777789,0
8.524296362923824,0
8.523062078756436,0
8.522567732718088,0
8.520806572970303,0
8.519639042501984,0
8.518531795246274,0
8.515977267378878,0
8.512780908859234,1
8.509220048921595,0
8.506979070074129,0
8.501711439023032,1
8.490571562027739,0
8.4795927987054,0
8.473649322846748,1
8.473249064166925,1
8.470545998692103,0
8.469537299759363,0
8.468741062907595,1
8.468694414938106,1
8.466013448224412,0
8.46133087400179,0
8.460963963587503,0
8.458814661984784,0
8.45879698814859,1
8.45790103691031,0
8.447404488438133,1
8.445219158974174,0
8.437875983021623,0
8.436759028788977,0
8.433974835689948,0
8.43344310417292,1
8.433290823974154,1
8.430471661964157,1
8.42690635667539,0
8.423084471695775,1
8.41997068212899,0
8.41860665004133,1
8.41608681704654,1
8.410625565120462,0
8.410460642866257,0
8.40876623110244,0
8.398261060278296,0
8.397248095971374,0
8.394509584685622,0
8.394397411757225,0
8.390500571895505,1
8.389945658771296,0
8.388322494203614,0
8.384623151510734,0
8.384296439201583,0
8.38376169055724,0
8.379512703256566,1
8.378108022890373,1
8.376279724659616,0
8.373170925244922,0
8.37291028476714,1
8.370440489338627,1
8.370364964619357,1
8.369154353699956,0
8.360795827235105,0
8.35761299314161,1
8.35263517558002,1
8.3503510398453,0
8.347949482501885,0
8.339511610034751,0
8.339436756896689,0
8.337696200697742,0
8.332953484844603,0
8.331553235054374,0
8.330743318988178,0
8.326349854410445,0
8.323982150124747,1
8.322986672402298,1
8.316765884214679,0
8.316663722070082,1
8.31595907145097,0
8.315267620031083,1
8.313773604321764,0
8.312379503092345,0
8.311271181077604,1
8.310938776156911,0
8.310373671963342,1
8.31002902004885,0
8.309227709741469,1
8.307462969006558,0
8.305063984234739,0
8.3043346530985,1
8.303831038249468,0
8.303263800482528,0
8.297783199991656,1
8.297725877791718,0
8.296344055589273,0
8.293720110388866,0
8.291299005968142,1
8.289857906323226,1
8.289224270217973,0
8.288765459923367,0
8.285395274908012,0
8.2850715273713,1
8.28112065517672,0
8.278752740755206,0
8.277058197816894,1
8.275795629701165,1
8.274069058697867,0
8.273643584335904,0
8.27205509125987,0
8.269944709732332,0
8.26830759203937,0
8.264090516352203,1
8.261405952114934,0
8.257596524670312,1
8.251217779681046,1
8.250830009047863,1
8.24955050895133,1
8.248703054410829,0
8.247958056143684,1
8.247148271309296,0
8.246919870565435,1
8.246369053777844,0
8.24518659646861,0
8.24309098646176,0
8.242558635342093,1
8.240945815161524,0
8.238996596889073,1
8.238878989445276,0
8.237142633897012,0
8.237091873714283,0
8.228563824612493,0
8.227083130096286,1
8.22680803429499,1
8.218171065854822,0
8.215123506909467,1
8.214099764451955,0
8.210443565143713,1
8.210357972710824,0
8.207458912656827,0
8.206499937809191,0
8.205550719357213,1
8.205541814653984,0
8.205447052623702,0
8.197353369384867,1
8.195765359895596,1
8.19221015591042,0
8.18936335603807,0
8.189213850977879,1
8.185923417313038,1
8.184410006452293,0
8.182103306174486,1
8.180755325786324,0
8.179890443104444,0
8.177174973797975,1
8.176079615301635,0
8.174186267047556,1
8.174028130575552,0
8.170588044761532,0
8.167792632308252,0
8.16776766297284,1
8.165714932759002,1
8.164992426171885,1
